,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000
402,Ferrari A.,d,SAM,6,"5,75","5,58",0,0,0 / 0,0,0,2,0,3,-
403,Laurini,d,FIO,13,"5,73","5,58",0,0,0 / 0,0,0,4,0,4,-
404,Ariaudo,d,FRO,19,"5,74","5,58",0,0,0 / 0,0,0,2,0,6,-
405,Molinaro,d,FRO,14,"5,64","5,57",0,0,0 / 0,0,0,2,0,5,-
406,Cionek,d,SPA,30,"5,75","5,57",0,0,0 / 0,0,2,12,2,7,-
407,Barba,d,CHI,30,"5,7","5,55",0,0,0 / 0,0,0,5,2,6,-
408,Falcinelli,a,BOL,11,"5,45","5,55",0,0,0 / 0,0,1,0,0,9,-
409,Marcano,d,ROM,10,"5,55","5,55",0,0,0 / 0,0,0,0,0,5,-
410,Capuano,d,FRO,27,"5,67","5,54",0,0,0 / 0,0,0,5,1,6,-
411,Sirigu,p,TOR,36,"6,36","5,54",0,35,0 / 0,2,0,1,0,15,-
412,Biabiany,c,PAR,17,"5,65","5,53",0,0,0 / 0,0,0,4,0,5,-
413,Jaroszynski,d,CHI,19,"5,58","5,53",0,0,0 / 0,0,0,2,0,6,-
414,Ceravolo,a,PAR,22,"5,41","5,52",2,0,1 / 2,0,0,1,0,6,-
415,Szczesny,p,JUV,28,"6,11","5,5",0,20,0 / 0,1,0,0,0,17,-
416,Wague,d,UDI,1,"5,5","5,5",0,0,0 / 0,0,0,0,0,1,-
417,Viviani,c,FRO,5,"5,6","5,5",0,0,0 / 0,0,0,1,0,4,-
418,Trotta,a,FRO,8,"5,5","5,5",0,0,0 / 0,0,0,0,0,4,-
419,Edera,a,BOL,5,"5,6","5,5",0,0,0 / 0,0,0,1,0,3,-
420,Dessena,c,CAG,6,"5,75","5,5",0,0,0 / 0,0,0,3,0,2,-
421,Mazzitelli,c,GEN,9,"5,67","5,5",0,0,0 / 0,0,0,3,0,3,-
422,Veseli,d,EMP,29,"5,57","5,5",0,0,0 / 0,0,0,4,0,6,-
423,Okwonkwo,a,BOL,7,"5,57","5,5",0,0,0 / 0,0,0,2,0,3,-
424,Bani,d,CHI,30,"5,72","5,5",0,0,0 / 0,0,0,7,1,7,-
425,Everton Luiz,c,SPA,9,"5,72","5,5",0,0,0 / 0,0,0,5,0,4,-
426,Coric,c,ROM,1,"5,5","5,5",0,0,0 / 0,0,0,0,0,1,-
427,Bremer,d,TOR,2,"5,75","5,5",0,0,0 / 0,0,0,1,0,2,-
428,Vizeu,a,UDI,1,"5,5","5,5",0,0,0 / 0,0,0,0,0,4,-
429,Da Cruz,a,PAR,3,"5,5","5,5",0,0,0 / 0,0,0,0,0,2,-
430,Kulusevski,c,ATA,3,"5,5","5,5",0,0,0 / 0,0,0,0,0,2,-
431,Ardaiz,a,FRO,1,"5,5","5,5",0,0,0 / 0,0,0,0,0,1,-
432,Piazon,c,CHI,3,"5,5","5,5",0,0,0 / 0,0,0,0,0,7,-
433,Oberlin,a,EMP,3,"5,5","5,5",0,0,0 / 0,0,0,0,0,8,-
434,Doratiotto,a,CAG,1,"5,5","5,5",0,0,0 / 0,0,0,0,0,1,-
435,Piccoli,a,ATA,1,"5,5","5,5",0,0,0 / 0,0,0,0,0,2,-
436,Rossettini,d,CHI,21,"5,60","5,48",0,0,0 / 0,0,0,5,0,6,-
437,Sandro,c,UDI,22,"5,68","5,48",0,0,0 / 0,0,1,8,0,6,-
438,Donnarumma G.,p,MIL,35,"6,33","5,47",0,31,0 / 0,1,0,4,0,17,-
439,Rolon,c,GEN,17,"5,71","5,47",0,0,0 / 0,0,0,9,0,4,-
440,Maietta,d,EMP,21,"5,57","5,45",0,0,0 / 0,0,0,5,0,6,-
441,Helander,d,BOL,19,"5,61","5,45",0,0,0 / 0,0,0,6,0,5,-
442,Gobbi,d,PAR,15,"5,43","5,4",0,0,0 / 0,0,1,3,0,3,-
443,Rigoni N,c,CHI,24,"5,56","5,40",0,0,0 / 0,0,1,8,1,4,-
444,Cerri,a,CAG,14,"5,5","5,39",0,0,0 / 0,0,0,3,0,4,-
445,Meret,p,NAP,14,"6,11","5,39",0,9,0 / 0,0,0,0,1,12,-
446,Nagy,c,BOL,13,"5,54","5,38",0,0,0 / 0,0,0,2,1,4,-
447,Simic L,d,SPA,4,"5,38","5,38",0,0,0 / 0,0,0,0,0,1,-
448,Dickmann,d,SPA,4,"5,5","5,38",0,0,0 / 0,0,0,1,0,3,-
449,Crisetig,c,FRO,7,"5,57","5,36",0,0,0 / 0,0,0,3,0,2,-
450,Brighenti,d,FRO,11,"5,55","5,36",0,0,0 / 0,0,0,4,0,4,-
451,Handanovic,p,INT,38,"6,21","5,34",0,33,0 / 0,0,0,0,0,15,-
452,Karnezis,p,NAP,9,"6,11","5,33",0,7,0 / 0,0,0,0,0,4,-
453,Ingelsson,c,UDI,3,"5,33","5,33",0,0,0 / 0,0,0,0,0,2,-
454,Schiappacasse,a,PAR,3,"5,33","5,33",0,0,0 / 0,0,0,0,0,3,-
455,Durmisi,d,LAZ,8,"5,56","5,31",0,0,0 / 0,0,0,4,0,3,-
456,Capezzi,c,EMP,10,"5,65","5,3",0,0,0 / 0,0,0,3,0,2,-
457,Krajnc,d,FRO,9,"5,44","5,28",0,0,0 / 0,0,0,3,0,2,-
458,Rasmussen,d,EMP,13,"5,31","5,27",0,0,0 / 0,0,1,3,0,3,-
459,Pucciarelli,a,CHI,8,"5,31","5,25",0,0,0 / 0,0,0,1,0,3,-
460,Omeonga,c,GEN,2,"5,5","5,25",0,0,0 / 0,0,0,1,0,1,-
461,Medeiros,a,GEN,2,"5,25","5,25",0,0,0 / 0,0,0,0,0,5,-
462,Paz,d,BOL,2,"5,5","5,25",0,0,0 / 0,0,0,1,0,2,-
463,Zeegelaar,d,UDI,12,"5,54","5,25",0,0,0 / 0,0,0,5,1,3,-
464,Opoku,d,UDI,11,"5,45","5,23",0,0,0 / 0,0,0,5,0,4,-
