;Id;Valore;V_Partite;V_FM;V_MV;V_Rigori;V_Rig_Parati;V_Ammonizioni;V_Espulsioni;V_Squadra;V_Gol_Subiti;;;Valore;V_Partite;V_FM;V_MV;V_Rigori;V_Rig_Parati;V_Ammonizioni;V_Espulsioni;V_Squadra;V_Gol_Subiti
66;66;24,67264396;5,187368421;11,42530526;10,26585263;0;0;-6,705882353;0;4,5;0;;;;;;;;;;;;
67;67;24,29561882;5,085263158;11,77326316;10,50678947;3,6;0;-11,16969697;0;4,5;0;;;;;;;;;;;;
68;68;23,23406828;6,382631579;9,566842105;7,99;3;0;-9,705405405;0;6;0;;;;;;;;;;;;
69;69;9,37;0,603684211;3,050526316;2,715789474;0;0;0;0;3;0;;;;;;;;;;;;
70;70;15,20067368;4,2112;1,847368421;1,642105263;0;0;0;0;7,5;0;;;;;;;;;;;;
71;71;20,57676161;3,769473684;10,04568421;8,823368421;1;0;-10,56176471;0;7,5;0;;;;;;;;;;;;
72;72;17,29502288;4,172105263;5,928947368;5,876578947;0;0;-6,182608696;0;7,5;0;;;;;;;;;;;;
73;73;25,56393672;3,891052632;9,536157895;8,94;0;0;-4,30327381;0;7,5;0;;;;;;;;;;;;
74;74;15,02473684;6,58;2,292105263;2,052631579;0;0;-0,4;0;4,5;0;;;;;;;;;;;;
75;75;6,21477556;2,360526316;6,699757895;6,774031579;0;0;-14,11954023;0;4,5;0;;;;;;;;;;;;
76;76;9,849590643;2,323684211;7,129010526;6,874673684;0;0;-9,5;-1,477777778;4,5;0;;;;;;;;;;;;
77;77;27,92113158;5,209473684;11,64757895;10,00157895;1,8;0;-2,2375;0;1,5;0;;;;;;;;;;;;
78;78;15,2608134;2,405263158;7,651578947;7,235789474;0;0;-5,668181818;-0,863636364;4,5;0;;;;;;;;;;;;
79;79;26,67894737;6,190526316;8,185263158;7,803157895;0;0;0;0;4,5;0;;;;;;;;;;;;
80;80;23,64174761;4,914210526;11,10510526;10,348;1,5;0;-10,53806818;-1,1875;7,5;0;;;;;;;;;;;;
81;81;14,19052632;2,822105263;2,715789474;2,652631579;0;0;0;0;6;0;;;;;;;;;;;;
82;82;13,89052632;6,58;2,257894737;2,052631579;0;0;0;0;3;0;;;;;;;;;;;;
83;83;22,87206767;4,802631579;11,11736842;10,22921053;1,6;0;-9,377142857;0;4,5;0;;;;;;;;;;;;
84;84;18,94428193;5,059473684;10,17289474;10,05631579;0;0;-12,34440228;0;6;0;;;;;;;;;;;;
85;85;25,24298246;3,95;9,224210526;8,002105263;4;0;-4,433333333;0;4,5;0;;;;;;;;;;;;
86;86;9,769473684;2,790526316;2,368421053;2,210526316;0;0;-0,6;0;3;0;;;;;;;;;;;;
87;87;7,365410526;0,703305263;2,581578947;2,660526316;0;0;-3,546666667;-2,533333333;7,5;0;;;;;;;;;;;;
88;88;5,652673684;0,2632;0,444736842;0,444736842;0;0;0;0;4,5;0;;;;;;;;;;;;
89;89;13,32473684;6,58;2,189473684;2,155263158;0;0;-0,6;0;3;0;;;;;;;;;;;;
90;90;11,82473684;6,58;2,189473684;2,155263158;0;0;-0,6;0;1,5;0;;;;;;;;;;;;
91;91;8,530989474;4,2112;1,746105263;1,573684211;0;0;-0,5;0;1,5;0;;;;;;;;;;;;
92;92;12,59812727;2,155789474;6,608305263;6,573305263;0;0;-10,23927273;0;7,5;0;;;;;;;;;;;;
93;93;11,28098947;4,2112;1,746105263;1,573684211;0;0;-0,75;0;4,5;0;;;;;;;;;;;;
94;94;16,20656608;1,823684211;5,930873684;5,671452632;0;0;-3,219444444;0;6;0;;;;;;;;;;;;
95;95;8,807536842;1,263957895;2,830947368;2,702631579;0;0;-3,99;0;6;0;;;;;;;;;;;;
