,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni
490,Rossi F.,p,ATA,1,"6,0","5,0",0,1,0 / 0,0,0,0,0
491,Palombi,a,LAZ,1,"5,0","5,0",0,0,0 / 0,0,0,0,0
492,Sorrentino,p,CHI,38,"6,29","4,95",0,59,0 / 0,3,0,2,0
493,Donnarumma G.,p,MIL,38,"6,09","4,91",0,42,0 / 0,0,0,2,0
494,Gentiletti,d,GEN,4,"5,12","4,88",0,0,0 / 0,0,0,2,0
495,Viviano,p,SAM,27,"6,11","4,85",0,43,0 / 0,4,0,2,0
496,Sadiq,a,TOR,3,"4,83","4,83",0,0,0 / 0,0,0,0,0
497,Cremonesi,d,SPA,5,"5,4","4,8",0,0,0 / 0,0,0,2,0
498,Cragno,p,CAG,29,"6,21","4,79",0,47,0 / 0,2,0,0,0
499,Consigli,p,SAS,37,"6,20","4,69",0,58,0 / 0,1,0,2,0
500,Mirante,p,BOL,33,"6,15","4,62",0,46,0 / 0,0,0,5,0
501,Bizzarri,p,UDI,32,"6,06","4,59",0,52,0 / 0,2,0,0,1
502,Gomis A,p,SPA,25,"6,16","4,56",0,43,0 / 0,1,0,0,0
503,Dussenne,d,CRO,1,"5,0","4,5",0,0,0 / 0,0,0,1,0
504,Cordaz,p,CRO,38,"6,17","4,49",0,66,0 / 0,1,0,2,0
505,Scuffet,p,UDI,6,"5,75","4,42",0,11,0 / 0,1,0,0,0
506,Puggioni,p,BEN,23,"6,07","4,37",0,38,0 / 0,0,0,0,1
507,Nicolas,p,VER,36,"6,06","4,19",0,71,0 / 0,2,0,2,1
508,Pegolo,p,SAS,2,"5,5","4,0",0,1,0 / 0,0,0,0,0
509,Brignoli,p,BEN,13,"5,92","3,65",1,31,0 / 0,0,0,3,0
510,Belec,p,SAM,15,"5,83","3,6",0,32,0 / 0,0,0,1,1
511,Silvestri,p,VER,2,"6,5","3,0",0,7,0 / 0,0,0,0,0
512,Dragowski,p,FIO,3,"5,5","2,83",0,8,0 / 0,0,0,0,0
513,Crosta,p,CAG,1,"4,5","1,5",0,3,0 / 0,0,0,0,0
514,Radunovic,p,ATA,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
515,Brivio,d,GEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
516,Cherubin,d,VER,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
517,Gastaldello,d,BOL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
518,Seculin,p,CHI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
519,Frey,d,CHI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
520,Camporese,d,BEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
521,Fernandez M,c,FIO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
522,Acosty,a,CRO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
523,Rebic,a,FIO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
524,Donnarumma An.,p,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
525,Gakpe',a,GEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
526,Berni,p,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
527,Dodo' R.,d,SAM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
528,Murillo,d,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
529,Gnoukouri,c,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
530,Kondogbia,c,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
