,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000
216,Rogerio,d,SAS,15,"5,97","6,03",1,0,0 / 0,0,1,6,0,5,-
217,Sansone,a,BOL,32,"5,75","6,02",4,0,3 / 4,0,2,5,0,8,-
218,Nuytinck,d,UDI,26,"6,06","6,02",0,0,0 / 0,0,0,2,0,8,-
219,Tomiyasu,d,BOL,29,"5,95","6,02",1,0,0 / 0,0,3,8,0,6,-
220,Kyriakopoulos,d,SAS,22,"6,02","6,02",0,0,0 / 0,0,2,4,0,7,-
221,Mattiello,d,CAG,15,"6,03","6,0",0,0,0 / 0,0,1,3,0,4,-
222,Cerri,a,SPA,15,"5,67","6,0",2,0,0 / 0,0,0,2,0,4,-
223,Ghoulam,d,NAP,8,"6,0","6,0",0,0,0 / 0,0,1,2,0,2,-
224,Alex Sandro,d,JUV,29,"5,90","6,0",1,0,0 / 0,0,2,4,0,8,-
225,Deiola,c,LEC,10,"5,75","6,0",1,0,0 / 0,0,1,3,0,1,-
226,Pinsoglio,p,JUV,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,-
227,Morosini,c,BRE,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,1,-
228,Karamoh,a,PAR,11,"5,64","6,0",1,0,0 / 0,0,1,0,0,1,-
229,Magnani,d,SAS,6,"5,75","6,0",1,0,0 / 0,0,0,3,0,2,-
230,Berisha V.,c,LAZ,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,1,-
231,Kingsley,c,BOL,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,3,-
232,Zanimacchia,a,JUV,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,3,-
233,Malcuit,d,NAP,3,"6,0","6,0",0,0,0 / 0,0,0,0,0,1,-
234,Gumus,a,GEN,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,4,-
235,Chabot,d,SAM,8,"5,81","6,0",1,0,0 / 0,0,0,1,1,2,-
236,Pinna,d,CAG,1,"6,5","6,0",0,0,0 / 0,0,0,1,0,1,-
237,Rovella,c,GEN,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,-
238,Calderoni,d,LEC,24,"5,69","6,0",3,0,0 / 0,0,2,7,0,5,-
239,Vitale L,d,VER,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,1,-
240,Lucas Felippe,c,VER,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,1,-
241,Zmrhal,c,BRE,17,"5,65","6,0",2,0,0 / 0,0,0,0,0,6,-
242,Arana,d,ATA,2,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,-
243,Cleonise,a,GEN,2,"6,0","6,0",0,0,0 / 0,0,0,2,0,1,-
244,Czyborra,d,ATA,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,1,-
245,Bellanova,d,ATA,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,1,-
246,Maldini,c,MIL,1,"6,0","6,0",0,0,0 / 0,0,0,0,0,2,-
247,Cigarini,c,CAG,20,"6,02","5,98",0,0,0 / 0,0,3,6,1,4,-
248,Maksimovic,d,NAP,22,"5,84","5,98",1,0,0 / 0,0,1,2,0,6,-
249,Danilo Lar.,d,BOL,30,"5,95","5,97",2,0,0 / 0,0,0,9,1,8,-
250,Darmian,d,PAR,32,"5,94","5,97",1,0,0 / 0,0,1,6,0,8,-
251,Dabo,c,SPA,16,"5,72","5,97",1,0,0 / 0,0,3,4,0,4,-
252,Iacoponi,d,PAR,35,"5,9","5,97",2,0,0 / 0,0,0,7,0,7,-
253,Dermaku,d,PAR,14,"6,04","5,96",0,0,0 / 0,0,0,2,0,5,-
254,Krejci,c,BOL,14,"5,82","5,96",1,0,0 / 0,0,0,2,0,3,-
255,Luiz Felipe,d,LAZ,25,"5,92","5,96",1,0,0 / 0,0,1,6,0,7,-
256,Sprocati,a,PAR,13,"5,73","5,96",1,0,0 / 0,0,0,0,0,4,-
257,Toljan,d,SAS,28,"5,93","5,96",1,0,0 / 0,0,2,8,0,6,-
258,Romulo,c,BRE,22,"5,75","5,95",1,0,0 / 0,0,3,3,0,8,-
259,Hateboer,d,ATA,30,"5,98","5,95",0,0,0 / 0,0,4,10,0,6,-
260,Bennacer,c,MIL,31,"6,08","5,95",1,0,0 / 0,0,0,14,0,8,-
261,Schone,c,GEN,32,"5,88","5,95",2,0,0 / 1,0,2,5,0,9,-
262,Dimarco,d,VER,8,"6,0","5,94",0,0,0 / 0,0,2,1,0,3,-
263,Rrahmani,d,VER,36,"5,99","5,94",0,0,0 / 0,0,1,5,0,7,-
264,Ranocchia,d,INT,7,"6,14","5,93",0,0,0 / 0,0,0,3,0,3,-
265,Rabiot,c,JUV,28,"5,91","5,93",1,0,0 / 0,0,1,5,1,7,-
266,Yoshida,d,SAM,14,"5,89","5,93",0,0,0 / 0,0,1,1,0,7,-
267,Petriccione,c,LEC,31,"5,98","5,92",0,0,0 / 0,0,3,10,0,7,-
268,De Maio,d,UDI,18,"5,94","5,92",0,0,0 / 0,0,0,1,0,4,-
269,Bruno Alves,d,PAR,32,"5,98","5,92",0,0,0 / 0,0,0,4,0,8,-
270,Mandragora,c,UDI,25,"5,88","5,92",0,0,0 / 0,0,2,2,0,4,-
271,Lazaro,c,INT,6,"5,92","5,92",0,0,0 / 0,0,1,2,0,2,-
272,Bisoli,c,BRE,25,"5,88","5,92",1,0,0 / 0,0,1,6,0,4,-
273,Baselli,c,TOR,16,"5,88","5,91",0,0,0 / 0,0,2,3,0,4,-
274,Danilo,d,JUV,22,"5,73","5,91",2,0,0 / 0,0,0,2,1,6,-
275,Strefezza,c,SPA,32,"5,89","5,91",1,0,0 / 0,0,2,7,1,8,-
276,Lulic,c,LAZ,20,"5,95","5,9",0,0,0 / 0,0,2,6,0,3,-
277,Regini,d,PAR,5,"5,9","5,9",0,0,0 / 0,0,0,0,0,2,-
278,Pegolo,p,SAS,5,"6,7","5,9",0,4,0 / 0,0,0,0,0,3,-
279,Sabelli,d,BRE,36,"5,94","5,90",0,0,0 / 0,0,3,5,0,7,-
280,N'koulou,d,TOR,31,"5,89","5,90",1,0,0 / 0,0,0,3,1,5,-
281,Kjaer,d,MIL,20,"6,0","5,9",0,0,0 / 0,0,0,4,0,5,-
282,Pellegrini Lu.,d,CAG,24,"5,90","5,90",0,0,0 / 0,0,5,10,0,6,-
283,Vera,d,LEC,5,"5,7","5,9",0,0,0 / 0,0,1,0,0,3,-
284,Chancellor,d,BRE,26,"5,69","5,90",3,0,0 / 0,0,0,3,0,5,-
285,Semprini,d,BRE,10,"5,7","5,9",1,0,0 / 0,0,0,2,0,3,-
286,Dawidowicz,d,VER,10,"5,9","5,9",1,0,0 / 0,0,0,2,2,1,-
287,Agudelo,c,FIO,10,"5,85","5,9",1,0,0 / 0,0,0,3,1,2,-
288,Ghiglione,d,GEN,23,"5,76","5,89",0,0,0 / 0,0,5,4,0,6,-
289,Edera,a,TOR,9,"5,67","5,89",1,0,0 / 0,0,1,2,1,1,-
290,Laurini,d,PAR,13,"5,88","5,88",0,0,0 / 0,0,2,4,0,2,-
291,Radu,d,LAZ,29,"5,91","5,88",1,0,0 / 0,0,0,8,0,6,-
292,Boateng,a,FIO,12,"5,71","5,88",1,0,0 / 0,0,0,2,0,6,-
293,Cristante,c,ROM,24,"5,83","5,88",1,0,0 / 0,0,2,7,1,5,-
294,Caldara,d,ATA,13,"5,85","5,88",0,0,0 / 0,0,1,1,0,2,-
295,Donati,d,LEC,20,"5,92","5,88",1,0,0 / 0,0,0,4,0,8,-
296,Shakhov,c,LEC,21,"5,71","5,88",1,0,0 / 0,0,2,3,0,5,-
297,Meccariello,d,LEC,12,"5,67","5,88",1,0,0 / 0,0,0,2,0,3,-
298,Majer,c,LEC,27,"5,85","5,87",1,0,0 / 0,0,1,7,0,6,-
299,Krunic,c,MIL,11,"5,91","5,86",0,0,0 / 0,0,1,3,0,1,-
300,De Sciglio,d,JUV,7,"5,93","5,86",0,0,0 / 0,0,0,1,0,1,-
301,Skriniar,d,INT,32,"6,06","5,86",0,0,0 / 0,0,0,7,1,8,-
302,Matuidi,c,JUV,32,"5,86","5,86",0,0,0 / 0,0,1,2,0,7,-
303,Rincon,c,TOR,31,"5,87","5,85",1,0,0 / 0,0,2,11,0,7,-
304,Caceres,d,FIO,27,"5,93","5,85",1,0,0 / 0,0,0,8,1,6,-
305,Brugman,c,PAR,20,"5,9","5,85",0,0,0 / 0,0,1,5,0,5,-
306,Florenzi,d,ROM,13,"5,96","5,85",0,0,0 / 0,0,1,5,0,5,-
307,Magnanelli,c,SAS,17,"6,0","5,85",0,0,0 / 0,0,0,5,0,3,-
